FWHM_arcsec,Fiber_offset_arcsec,Percent_thru
6.999999999999999556e-01,-1.000000000000000000e+00,6.502697525223425146e+00
6.999999999999999556e-01,-9.000000000000000222e-01,1.040290084610696830e+01
6.999999999999999556e-01,-8.000000000000000444e-01,1.604379037219112902e+01
6.999999999999999556e-01,-6.999999999999999556e-01,2.356075338700616228e+01
6.999999999999999556e-01,-5.999999999999999778e-01,3.266221884550631671e+01
6.999999999999999556e-01,-5.000000000000000000e-01,4.257025000243172030e+01
6.999999999999999556e-01,-4.000000000000000222e-01,5.220303841351422136e+01
6.999999999999999556e-01,-2.999999999999999889e-01,6.051571533281700255e+01
6.999999999999999556e-01,-2.000000000000000111e-01,6.677232800895509968e+01
6.999999999999999556e-01,-1.000000000000000056e-01,7.060253075731976935e+01
6.999999999999999556e-01,0.000000000000000000e+00,7.188564487441448136e+01
6.999999999999999556e-01,1.000000000000000056e-01,7.060253075731976935e+01
6.999999999999999556e-01,2.000000000000000111e-01,6.677232800895509968e+01
6.999999999999999556e-01,2.999999999999999889e-01,6.051571533281700255e+01
6.999999999999999556e-01,4.000000000000000222e-01,5.220303841351421426e+01
6.999999999999999556e-01,5.000000000000000000e-01,4.257025000243172030e+01
6.999999999999999556e-01,5.999999999999999778e-01,3.266221884550631671e+01
6.999999999999999556e-01,6.999999999999999556e-01,2.356075338700615873e+01
6.999999999999999556e-01,8.000000000000000444e-01,1.604379037219112902e+01
6.999999999999999556e-01,9.000000000000000222e-01,1.040290084610696830e+01
6.999999999999999556e-01,1.000000000000000000e+00,6.502697525223425146e+00
