FWHM_arcsec,Fiber_offset_arcsec,Percent_thru
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,-1.000000000000000000e+00,9.536032816300176407e+00
9.000000000000000222e-01,-9.000000000000000222e-01,1.371219344175203325e+01
9.000000000000000222e-01,-8.000000000000000444e-01,1.860132531297009351e+01
9.000000000000000222e-01,-6.999999999999999556e-01,2.439809153726131541e+01
9.000000000000000222e-01,-5.999999999999999778e-01,3.084704414704795283e+01
9.000000000000000222e-01,-5.000000000000000000e-01,3.753521891123970988e+01
9.000000000000000222e-01,-4.000000000000000222e-01,4.445926300579726842e+01
9.000000000000000222e-01,-2.999999999999999889e-01,5.000279754070351146e+01
9.000000000000000222e-01,-2.000000000000000111e-01,5.428294331681024687e+01
9.000000000000000222e-01,-1.000000000000000056e-01,5.698620939278873720e+01
9.000000000000000222e-01,0.000000000000000000e+00,5.792975377301957707e+01
9.000000000000000222e-01,1.000000000000000056e-01,5.705318501713917101e+01
9.000000000000000222e-01,2.000000000000000111e-01,5.441288408663266551e+01
9.000000000000000222e-01,2.999999999999999889e-01,5.018716738148410172e+01
9.000000000000000222e-01,4.000000000000000222e-01,4.468460463713376640e+01
9.000000000000000222e-01,5.000000000000000000e-01,3.778483415087277564e+01
9.000000000000000222e-01,5.999999999999999778e-01,3.109842562600931970e+01
9.000000000000000222e-01,6.999999999999999556e-01,2.463302607768783403e+01
9.000000000000000222e-01,8.000000000000000444e-01,1.880644611639866071e+01
9.000000000000000222e-01,9.000000000000000222e-01,1.388061807349113330e+01
9.000000000000000222e-01,1.000000000000000000e+00,9.664022282685037268e+00
